Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1108,,,,,,delta_rise=0.5_fall=0.0,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=0.5_fall=0.25,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=0.5_fall=0.5,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=0.5_fall=0.75,6,1.5714285714285714,1.3997084244475306
1108,,,,,,delta_rise=0.5_fall=1.0,6,1.5714285714285714,1.3997084244475306
1108,,,,,,delta_rise=0.75_fall=0.0,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=0.75_fall=0.25,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=0.75_fall=0.5,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=0.75_fall=0.75,6,1.5714285714285714,1.3997084244475306
1108,,,,,,delta_rise=0.75_fall=1.0,6,1.5714285714285714,1.3997084244475306
1108,,,,,,delta_rise=1.0_fall=0.0,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=1.0_fall=0.25,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=1.0_fall=0.5,7,1.375,0.9921567416492215
1108,,,,,,delta_rise=1.0_fall=0.75,6,1.5714285714285714,1.3997084244475306
1108,,,,,,delta_rise=1.0_fall=1.0,6,1.5714285714285714,1.3997084244475306
1108,,,,,,simdrop,3,2.75,1.920286436967152
1109,0.24740957136810646,0.12386003696066449,6.348141685758402,0.709851003,7,delta_rise=0.0_fall=0.0,2,2.3333333333333335,0.4714045207910317
1109,,,,,,delta_rise=0.0_fall=0.25,1,3.5,1.5
1109,,,,,,delta_rise=0.0_fall=0.5,1,3.5,1.5
1109,,,,,,delta_rise=0.0_fall=0.75,1,3.5,1.5
1109,,,,,,delta_rise=0.0_fall=1.0,1,3.5,1.5
1109,,,,,,delta_rise=0.25_fall=0.0,2,2.3333333333333335,0.4714045207910317
1109,,,,,,delta_rise=0.25_fall=0.25,1,3.5,1.5
1109,,,,,,delta_rise=0.25_fall=0.5,1,3.5,1.5
1109,,,,,,delta_rise=0.25_fall=0.75,1,3.5,1.5
1109,,,,,,delta_rise=0.25_fall=1.0,1,3.5,1.5
1109,,,,,,delta_rise=0.5_fall=0.0,3,1.75,0.829156198
1109,,,,,,delta_rise=0.5_fall=0.25,1,3.5,1.5
1109,,,,,,delta_rise=0.5_fall=0.5,1,3.5,1.5
1109,,,,,,delta_rise=0.5_fall=0.75,1,3.5,1.5
1109,,,,,,delta_rise=0.5_fall=1.0,1,3.5,1.5
1109,,,,,,delta_rise=0.75_fall=0.0,3,1.75,0.829156198
1109,,,,,,delta_rise=0.75_fall=0.25,1,3.5,1.5
1109,,,,,,delta_rise=0.75_fall=0.5,1,3.5,1.5
1109,,,,,,delta_rise=0.75_fall=0.75,1,3.5,1.5
1109,,,,,,delta_rise=0.75_fall=1.0,1,3.5,1.5
1109,,,,,,delta_rise=1.0_fall=0.0,3,1.75,0.829156198
1109,,,,,,delta_rise=1.0_fall=0.25,1,3.5,1.5
1109,,,,,,delta_rise=1.0_fall=0.5,1,3.5,1.5
1109,,,,,,delta_rise=1.0_fall=0.75,1,3.5,1.5
1109,,,,,,delta_rise=1.0_fall=1.0,1,3.5,1.5
1109,,,,,,simdrop,2,2.3333333333333335,0.4714045207910317
1110,0.21812743854812727,0.11355818181684027,7.115333426800993,1.5991074985148694,9,delta_rise=0.0_fall=0.0,4,2.25,1.0897247358851685
1110,,,,,,delta_rise=0.0_fall=0.25,3,3,0.816496581
1110,,,,,,delta_rise=0.0_fall=0.5,3,3,0.816496581
1110,,,,,,delta_rise=0.0_fall=0.75,3,3,0.816496581
1110,,,,,,delta_rise=0.0_fall=1.0,2,4.5,0.5
1110,,,,,,delta_rise=0.25_fall=0.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.25_fall=0.25,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.25_fall=0.5,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.25_fall=0.75,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.25_fall=1.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.5_fall=0.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.5_fall=0.25,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.5_fall=0.5,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.5_fall=0.75,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.5_fall=1.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.75_fall=0.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.75_fall=0.25,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.75_fall=0.5,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.75_fall=0.75,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=0.75_fall=1.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=1.0_fall=0.0,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=1.0_fall=0.25,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=1.0_fall=0.5,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=1.0_fall=0.75,5,1.8,1.1661903789690602
1110,,,,,,delta_rise=1.0_fall=1.0,5,1.8,1.1661903789690602
1110,,,,,,simdrop,2,3,0.816496581
