Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1105.0,,,,,,,,multimodal_alpha=0.30000000000000004,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.4,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.5,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.6000000000000001,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.7000000000000001,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.8,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=0.9,2,3.0,1.632993161855452
1105.0,,,,,,,,multimodal_alpha=1.0,2,3.0,1.632993161855452
1105.0,,,,,,,,simdrop,2,3.0,1.632993161855452
1106.0,0.3041590001792133,0.2613079728919803,7.005425338813832,1.3077779205218336,0.4258777777777778,0.3108507269485539,12.0,delta_rise=0.0_fall=0.0,4,3.0,1.5811388300841898
1106.0,,,,,,,,delta_rise=0.0_fall=0.25,4,3.0,1.5811388300841898
1106.0,,,,,,,,delta_rise=0.0_fall=0.5,4,3.0,1.5811388300841898
1106.0,,,,,,,,delta_rise=0.0_fall=0.75,3,4.0,2.449489742783178
1106.0,,,,,,,,delta_rise=0.0_fall=1.0,3,4.0,2.449489742783178
1106.0,,,,,,,,delta_rise=0.25_fall=0.0,7,1.7142857142857142,1.0301575072754254
1106.0,,,,,,,,delta_rise=0.25_fall=0.25,7,1.7142857142857142,1.0301575072754254
1106.0,,,,,,,,delta_rise=0.25_fall=0.5,7,1.7142857142857142,1.0301575072754254
1106.0,,,,,,,,delta_rise=0.25_fall=0.75,3,4.0,2.449489742783178
1106.0,,,,,,,,delta_rise=0.25_fall=1.0,3,4.0,2.449489742783178
